PLAYER_NAME,TEAM_ABBREVIATION,SEASON,GP,MIN,NET_RATING,OFF_RATING,DEF_RATING,USG_PCT,TS_PCT,PIE
Chris Paul,PHX,2021-22,29,3.1,52.0,138.4,86.4,0.303,0.689,0.3
Chris Paul,HOU,2017-18,21,2.6,50.1,145.5,95.5,0.324,0.797,0.302
Jared Dudley,LAC,2013-14,17,3.2,48.0,126.7,78.7,0.071,0.788,0.082
Patty Mills,SAS,2013-14,13,3.6,47.6,119.2,71.6,0.223,0.558,0.193
Zydrunas Ilgauskas,CLE,2008-09,18,2.5,47.2,135.9,88.6,0.165,0.716,0.07
Mario Hezonja,ORL,2015-16,11,2.8,46.6,116.4,69.8,0.263,0.766,0.206
Evan Mobley,CLE,2024-25,22,2.9,46.0,148.3,102.2,0.121,0.799,0.118
Greg Smith,HOU,2012-13,10,2.8,45.4,118.8,73.3,0.097,0.962,0.261
Robin Lopez,WAS,2020-21,11,3.8,45.0,129.7,84.7,0.147,0.795,0.178
Gordon Hayward,CHA,2020-21,20,3.1,44.9,138.0,93.1,0.272,0.606,0.213
