PLAYER_NAME,TEAM_ABBREVIATION,SEASON,GP,MIN,NET_RATING,OFF_RATING,DEF_RATING,USG_PCT,TS_PCT,PIE
Mike Dunleavy,CHI,2015-16,11,1.5,75.9,137.2,61.3,0.143,0.68,0.106
Michael Doleac,ORL,1998-99,13,2.0,61.4,134.7,73.3,0.235,0.588,0.149
Andre Drummond,CHI,2023-24,14,2.1,60.8,140.0,79.2,0.125,0.788,0.216
Rui Hachimura,LAL,2022-23,14,2.3,53.7,136.8,83.0,0.114,0.438,0.067
Christian Laettner,MIA,2004-05,15,2.4,53.5,121.5,68.1,0.17,0.689,0.262
Marreese Speights,GSW,2014-15,11,1.6,53.3,120.8,67.5,0.25,0.493,0.18
Anthony Morrow,CHI,2016-17,11,2.1,53.0,121.7,68.6,0.092,0.291,-0.026
Isaac Okoro,CLE,2024-25,11,1.5,52.0,154.5,102.5,0.051,0.75,0.092
Chris Paul,PHX,2021-22,29,3.1,52.0,138.4,86.4,0.303,0.689,0.3
Ish Smith,WAS,2021-22,10,2.3,51.2,130.2,78.9,0.19,0.551,0.155
